adulteration_id,product_name,brand,category,adulterant,detection_date,detection_method,severity,health_risk,action_taken
1,Butter,BrandB,Dairy,Artificial sweeteners,2024-05-11,Microbiological Analysis,Moderate,Low,Product Recall
2,Chicken,BrandC,Meat,Coloring agents,2024-05-23,Sensory Evaluation,Severe,Medium,Warning Issued
3,Yogurt,BrandC,Dairy,Artificial sweeteners,2024-02-17,Sensory Evaluation,Severe,High,Investigation Launched
4,Wine,BrandB,Beverages,Coloring agents,2024-05-16,Spectroscopy,Minor,Medium,Product Recall
5,Bread,BrandD,Bakery,Water,2024-06-06,Chemical Analysis,Severe,Medium,Warning Issued
6,Wine,BrandD,Beverages,Melamine,2024-05-12,Microbiological Analysis,Severe,Medium,Investigation Launched
7,Beef,BrandC,Meat,Melamine,2024-04-01,Chemical Analysis,Minor,Medium,Investigation Launched
8,Juice,BrandD,Beverages,Melamine,2024-03-18,Chemical Analysis,Moderate,High,Fine Imposed
9,Chicken,BrandC,Meat,Artificial sweeteners,2024-06-14,Microbiological Analysis,Minor,Low,Investigation Launched
10,Milk,BrandA,Dairy,Melamine,2024-04-23,Spectroscopy,Moderate,Medium,Fine Imposed
11,Cheese,BrandA,Dairy,Coloring agents,2024-02-25,Sensory Evaluation,Moderate,Low,Investigation Launched
12,Milk,BrandA,Dairy,Melamine,2024-03-07,Sensory Evaluation,Moderate,Low,Warning Issued
13,Bread,BrandC,Bakery,Chalk,2024-04-01,Chemical Analysis,Minor,High,Product Recall
14,Beef,BrandA,Meat,Chalk,2024-06-13,Chemical Analysis,Moderate,Medium,Warning Issued
15,Juice,BrandA,Beverages,Melamine,2024-04-13,Sensory Evaluation,Severe,Low,Investigation Launched
16,Honey,BrandB,Condiments,Melamine,2024-05-13,Spectroscopy,Minor,Medium,Investigation Launched
17,Wine,BrandE,Beverages,Melamine,2024-04-07,Chemical Analysis,Severe,Low,Product Recall
18,Yogurt,BrandB,Dairy,Chalk,2024-06-10,Spectroscopy,Moderate,High,Investigation Launched
19,Honey,BrandE,Condiments,Melamine,2024-03-03,Spectroscopy,Minor,Medium,Fine Imposed
20,Honey,BrandC,Condiments,Coloring agents,2024-04-19,Microbiological Analysis,Moderate,Low,Investigation Launched
21,Wine,BrandE,Beverages,Coloring agents,2024-04-19,Spectroscopy,Moderate,Medium,Fine Imposed
22,Cheese,BrandA,Dairy,Melamine,2024-03-18,Microbiological Analysis,Moderate,High,Fine Imposed
23,Wine,BrandD,Beverages,Coloring agents,2024-02-05,Spectroscopy,Severe,Low,Product Recall
24,Milk,BrandE,Dairy,Melamine,2024-03-17,Sensory Evaluation,Minor,Medium,Warning Issued
25,Juice,BrandC,Beverages,Coloring agents,2024-02-26,Chemical Analysis,Moderate,High,Investigation Launched
26,Honey,BrandE,Condiments,Chalk,2024-06-14,Chemical Analysis,Severe,High,Warning Issued
27,Chicken,BrandE,Meat,Coloring agents,2024-03-20,Spectroscopy,Minor,Low,Warning Issued
28,Cheese,BrandC,Dairy,Chalk,2024-03-25,Sensory Evaluation,Moderate,Medium,Investigation Launched
29,Beef,BrandC,Meat,Melamine,2024-05-19,Spectroscopy,Moderate,High,Product Recall
30,Beef,BrandE,Meat,Melamine,2024-05-30,Spectroscopy,Moderate,Medium,Product Recall
31,Chicken,BrandA,Meat,Water,2024-01-02,Microbiological Analysis,Minor,Medium,Fine Imposed
32,Honey,BrandB,Condiments,Melamine,2024-06-16,Spectroscopy,Moderate,High,Fine Imposed
33,Yogurt,BrandE,Dairy,Chalk,2024-06-02,Microbiological Analysis,Moderate,Medium,Investigation Launched
